date,instances_1d,instances_7d,instances_30d,users_registered,users_active1d,users_active7d,users_active30d,messages7d,storage_mib,voice_instances,federation_instances
2026-09-08,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,1,1,1,32,2,3,3,0,8200,1,1
2026-09-10,1,2,2,42,3,7,7,0,8200,2,2
2026-09-11,2,4,4,50,4,14,14,32,8231,4,4
2026-09-12,6,6,6,56,3,18,18,33,8231,6,6
2026-09-13,8,8,8,69,13,30,30,65,8233,8,8
2026-09-14,10,10,10,85,9,47,47,112,8240,10,10
2026-09-15,13,13,13,96,11,59,59,121,8243,13,13
2026-09-16,14,14,14,103,16,65,66,144,8261,14,13
2026-09-17,17,17,17,112,23,74,76,148,8274,17,16
